TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial46,14,108,1.0,1.0,1.006740169526067,-0.1867413140558312,0.1243328511574463,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,15,101,0.0,0.0,5.80770868118336,0.5492754191330906,0.6368401293592786,0.0,0.0,2.0,23.0,25.0,27.0,29.0,29.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,15,102,0.0,0.0,1.836542056984584,-0.4130776552891519,0.212914874921085,0.0,0.0,2.0,23.0,25.0,27.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,15,103,0.0,0.0,17.906396324614473,0.1904452352766207,1.9283848372433448,0.0,0.0,2.0,23.0,25.0,28.0,31.0,31.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,15,104,0.0,0.0,9.982684363665246,1.0726145522538684,1.0825221658884043,0.0,0.0,2.0,23.0,25.0,28.0,32.0,32.0,25.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,15,105,0.0,0.0,6.081634502806853,0.0234060093283723,0.6660819327430284,0.0,0.0,2.0,24.0,35.0,37.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,15,106,1.0,1.0,2.185832282045774,-0.3024517035025023,0.2502018894295014,1.0,0.0,2.0,24.0,35.0,38.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,15,107,1.0,1.0,-1.7842097851440284,-0.3230416064649599,-0.173603317636906,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,15,108,1.0,1.0,-4.002159450692152,-0.0416295328433519,-0.4103712413420209,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,16,101,0.0,0.0,6.474499806330732,0.901436356349692,0.7080206221803926,0.0,0.0,2.0,23.0,25.0,27.0,29.0,29.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,16,102,0.0,0.0,1.888956845726047,-1.3772092454075582,0.2185101960839264,0.0,0.0,2.0,23.0,25.0,27.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
